X,CH1,
Second,Volt,
-1.2059999e-01,-1.00000e-02,
-1.2058000e-01,-1.00000e-02,
-1.2056000e-01,-1.00000e-02,
-1.2054000e-01,-1.00000e-02,
-1.2051999e-01,-1.00000e-02,
-1.2049999e-01,-8.00000e-03,
-1.2047999e-01,-8.00000e-03,
-1.2046000e-01,-8.00000e-03,
-1.2044000e-01,-1.00000e-02,
-1.2042000e-01,-1.00000e-02,
-1.2039999e-01,-1.00000e-02,
-1.2037999e-01,-1.00000e-02,
-1.2035999e-01,-1.00000e-02,
-1.2034000e-01,-1.00000e-02,
-1.2032000e-01,-1.00000e-02,
-1.2029999e-01,-1.00000e-02,
-1.2027999e-01,-1.00000e-02,
-1.2025999e-01,-1.00000e-02,
-1.2024000e-01,-1.00000e-02,
-1.2022000e-01,-1.00000e-02,
-1.2020000e-01,-1.00000e-02,
-1.2017999e-01,-1.00000e-02,
-1.2015999e-01,-1.00000e-02,
-1.2013999e-01,-1.00000e-02,
-1.2012000e-01,-1.00000e-02,
-1.2010000e-01,-1.00000e-02,
-1.2008000e-01,-1.00000e-02,
-1.2005999e-01,-1.00000e-02,
-1.2003999e-01,-1.00000e-02,
-1.2001999e-01,-1.00000e-02,
-1.2000000e-01,-1.00000e-02,
-1.1998000e-01,-8.00000e-03,
-1.1995999e-01,-1.00000e-02,
-1.1993999e-01,-1.00000e-02,
-1.1991999e-01,-1.00000e-02,
-1.1990000e-01,-1.00000e-02,
-1.1988000e-01,-1.20000e-02,
-1.1986000e-01,-1.00000e-02,
-1.1983999e-01,-1.00000e-02,
-1.1981999e-01,-1.00000e-02,
-1.1979999e-01,-1.00000e-02,
-1.1978000e-01,-1.00000e-02,
-1.1976000e-01,-1.00000e-02,
-1.1973999e-01,-1.00000e-02,
-1.1971999e-01,-1.00000e-02,
-1.1969999e-01,-1.00000e-02,
-1.1967999e-01,-8.00000e-03,
-1.1966000e-01,-8.00000e-03,
-1.1964000e-01,-8.00000e-03,
-1.1961999e-01,-8.00000e-03,
-1.1959999e-01,-1.00000e-02,
-1.1957999e-01,-8.00000e-03,
-1.1956000e-01,-1.00000e-02,
-1.1954000e-01,-8.00000e-03,
-1.1952000e-01,-8.00000e-03,
-1.1949999e-01,-1.00000e-02,
-1.1947999e-01,-1.00000e-02,
-1.1945999e-01,-8.00000e-03,
-1.1944000e-01,-1.00000e-02,
-1.1942000e-01,-8.00000e-03,
-1.1939999e-01,-8.00000e-03,
-1.1937999e-01,-1.00000e-02,
-1.1935999e-01,-1.00000e-02,
-1.1934000e-01,-8.00000e-03,
-1.1932000e-01,-1.00000e-02,
-1.1930000e-01,-8.00000e-03,
-1.1927999e-01,-1.00000e-02,
-1.1925999e-01,-8.00000e-03,
-1.1923999e-01,-8.00000e-03,
-1.1922000e-01,-1.00000e-02,
-1.1920000e-01,-1.00000e-02,
-1.1918000e-01,-1.00000e-02,
-1.1915999e-01,-1.00000e-02,
-1.1913999e-01,-8.00000e-03,
-1.1911999e-01,-1.00000e-02,
-1.1910000e-01,-8.00000e-03,
-1.1908000e-01,-8.00000e-03,
-1.1905999e-01,-8.00000e-03,
-1.1903999e-01,-6.00000e-03,
